Country,Province_State,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Last_Update
Congo (Brazzaville),Congo (Brazzaville),24604,386,445.8787566426946,1.5688505933994472,2022-07-26 04:20:58
Congo (Kinshasa),Congo (Kinshasa),91928,1390,102.64242842821,1.5120529109738057,2022-07-26 04:20:58
Costa Rica,Costa Rica,989213,8670,19418.74484944781,0.8764543126707797,2022-07-26 04:20:58
Cote d'Ivoire,Cote d'Ivoire,84998,810,322.2272874173918,0.9529635991435093,2022-07-26 04:20:58
Croatia,Croatia,1177692,16235,28687.33539442492,1.3785437958311682,2022-07-26 04:20:58
Cuba,Cuba,1107510,8529,9777.942502862285,0.7701059132648915,2022-07-26 04:20:58
Cyprus,Cyprus,556048,1099,46054.82535877836,0.1976448076425057,2022-07-26 04:20:58
Czechia,Czechia,3968476,40390,37057.45326679978,1.0177710536740048,2022-07-26 04:20:58
Denmark,Faroe Islands,34658,28,70926.02066919062,0.08078942812626233,2022-07-26 04:20:58
Denmark,Greenland,11971,21,21086.09878108927,0.1754239411912121,2022-07-26 04:20:58
Denmark,Denmark,3218418,6591,55564.6616667268,0.20479005523831895,2022-07-26 04:20:58
Diamond Princess,Diamond Princess,712,13,,1.8258426966292134,2022-07-26 04:20:58
Djibouti,Djibouti,15690,189,1588.0534654788148,1.2045889101338432,2022-07-26 04:20:58
Dominica,Dominica,14852,68,20630.356572349323,0.45785079450579047,2022-07-26 04:20:58
Dominican Republic,Dominican Republic,626611,4383,5776.332460169264,0.6994770280125947,2022-07-26 04:20:58
Ecuador,Ecuador,955583,35793,5416.1976437194,3.7456714905978865,2022-07-26 04:20:58
Egypt,Egypt,515645,24765,503.8823551841115,4.802722803479138,2022-07-26 04:20:58
El Salvador,El Salvador,180970,4189,2790.076964929085,2.3147483008233407,2022-07-26 04:20:58
Equatorial Guinea,Equatorial Guinea,16704,183,1190.604318649166,1.0955459770114941,2022-07-26 04:20:58
Eritrea,Eritrea,9944,103,280.39488758685854,1.0358004827031375,2022-07-26 04:20:58
Estonia,Estonia,584373,2612,44052.45529909034,0.44697479178538363,2022-07-26 04:20:58
Eswatini,Eswatini,73259,1417,6314.538289414255,1.93423333651838,2022-07-26 04:20:58
Ethiopia,Ethiopia,491834,7567,427.8172158221617,1.5385272266659076,2022-07-26 04:20:58
Fiji,Fiji,67356,870,7513.687413826185,1.291644396935685,2022-07-26 04:20:58
Finland,Finland,1171034,5012,21135.0586692916,0.4279978207293725,2022-07-26 04:20:58
France,French Guiana,89779,402,30058.38985944918,0.4477661814009958,2022-07-26 04:20:58
France,French Polynesia,74809,649,26631.51824110728,0.8675426753465492,2022-07-26 04:20:58
France,Guadeloupe,179285,960,44807.02376995304,0.5354603006386479,2022-07-26 04:20:58
France,Martinique,208003,986,55428.29733654884,0.47403162454387676,2022-07-26 04:20:58
France,Mayotte,38653,187,14168.31309358425,0.4837916849921093,2022-07-26 04:20:58
France,New Caledonia,68135,314,23865.9012017892,0.4608497835180157,2022-07-26 04:20:58
France,Reunion,429237,825,47942.94254044418,0.19220151105333416,2022-07-26 04:20:58
France,Saint Barthelemy,4954,6,50116.33788568538,0.12111425111021397,2022-07-26 04:20:58
France,Saint Pierre and Miquelon,3026,1,52217.42881794651,0.03304692663582287,2022-07-26 04:20:58
France,St Martin,11410,63,29514.47269717272,0.5521472392638037,2022-07-26 04:20:58
France,Wallis and Futuna,533,7,3486.1665249525804,1.3133208255159474,2022-07-26 04:20:58
France,France,32643471,148200,50010.287480777806,0.45399583886162104,2022-07-26 04:20:58
Gabon,Gabon,48417,306,2175.333194352589,0.632009418179565,2022-07-26 04:20:58
Gambia,Gambia,12028,368,497.71089402581407,3.059527768540073,2022-07-26 04:20:58
Georgia,Georgia,1675265,16854,41995.274712189865,1.006049789137838,2022-07-26 04:20:58
Germany,Baden-Wurttemberg,4185802,16528,37813.718067419824,0.39485861968626323,2022-07-26 04:20:58
Germany,Bayern,5578790,24800,42661.99454740986,0.44454084129354215,2022-07-26 04:20:58
Germany,Berlin,1171863,4691,32151.41134309292,0.40030276576698814,2022-07-26 04:20:58
Germany,Brandenburg,871660,5758,34700.9873335783,0.6605786659936214,2022-07-26 04:20:58
Germany,Bremen,236360,808,34606.85870574214,0.34185141309866307,2022-07-26 04:20:58
Germany,Hamburg,683335,2797,37113.99054627497,0.40931607483884186,2022-07-26 04:20:58
Germany,Hessen,2261369,10576,36090.61495490846,0.4676813027860557,2022-07-26 04:20:58
Germany,Mecklenburg-Vorpommern,548419,2316,34070.16944414245,0.4223048435593953,2022-07-26 04:20:58
Germany,Niedersachsen,2910136,9926,36456.68596901602,0.34108371567514373,2022-07-26 04:20:58
Germany,Nordrhein-Westfalen,6185890,26244,34495.12289064233,0.42425584677386763,2022-07-26 04:20:58
Germany,Rheinland-Pfalz,1363739,5895,33385.33858330942,0.43226746466882593,2022-07-26 04:20:58
Germany,Saarland,376931,1764,38054.27310604951,0.4679901626557646,2022-07-26 04:20:58
Germany,Sachsen,1638688,15671,40184.240217541366,0.9563138315530473,2022-07-26 04:20:58
Germany,Sachsen-Anhalt,783754,5461,35490.94538339308,0.6967747533026944,2022-07-26 04:20:58
Germany,Schleswig-Holstein,924554,2702,31917.36009655085,0.29224901952725313,2022-07-26 04:20:58
Germany,Thuringen,755315,7427,35243.29898350321,0.9832983589628168,2022-07-26 04:20:58
Germany,Unknown,0,0,,,2022-07-26 04:20:58
Ghana,Ghana,167215,1456,538.1369548332159,0.8707352809257543,2022-07-26 04:20:58
Greece,Greece,4210771,30707,40398.622054798514,0.7292488715249535,2022-07-26 04:20:58
Grenada,Grenada,18720,233,16637.190163439063,1.2446581196581197,2022-07-26 04:20:58
Guatemala,Guatemala,1017542,18940,5679.652784642541,1.8613482293605572,2022-07-26 04:20:58
Guinea,Guinea,37358,445,284.4635017443359,1.1911772578831843,2022-07-26 04:20:58
Guinea-Bissau,Guinea-Bissau,8400,171,426.8297020627053,2.0357142857142856,2022-07-26 04:20:58
Guyana,Guyana,69468,1270,8831.886737040704,1.8281798813842345,2022-07-26 04:20:58
Haiti,Haiti,32178,838,282.2004549340046,2.6042637827086828,2022-07-26 04:20:58
Holy See,Holy See,29,0,3584.672435105068,0.0,2022-07-26 04:20:58
Honduras,Honduras,436210,10931,4404.111702351067,2.5059031200568533,2022-07-26 04:20:58
Hungary,Hungary,1951079,46736,20196.773408830944,2.395392498202277,2022-07-26 04:20:58
Iceland,Iceland,201082,179,58925.1282051282,0.08901841039973742,2022-07-26 04:20:58
India,Andaman and Nicobar Islands,10389,129,2491.1518430063597,1.2416979497545482,2022-07-26 04:20:58
India,Andhra Pradesh,2330067,14733,4322.672229557053,0.6322994145661905,2022-07-26 04:20:58
India,Arunachal Pradesh,65409,296,4164.963341904081,0.45253711262976043,2022-07-26 04:20:58
India,Assam,735621,8014,2065.9426356681893,1.089419687583688,2022-07-26 04:20:58
India,Bihar,841842,12280,674.5532845908899,1.4587060279719948,2022-07-26 04:20:58
India,Chandigarh,95748,1165,8265.017829504874,1.216735597610394,2022-07-26 04:20:58
India,Chhattisgarh,1163131,14058,3951.358446670704,1.2086342810912958,2022-07-26 04:20:58
India,Dadra and Nagar Haveli and Daman and Diu,11519,4,1870.8057506285284,0.034725236565674104,2022-07-26 04:20:58
India,Delhi,1948955,26303,10416.135559754885,1.3495950393929055,2022-07-26 04:20:58
India,Goa,251458,3849,15852.356185973207,1.5306731143968377,2022-07-26 04:20:58
India,Gujarat,1249120,10963,1955.649105962029,0.8776578711412835,2022-07-26 04:20:58
India,Haryana,1026230,10635,3638.508089363288,1.0363173947360729,2022-07-26 04:20:58
India,Himachal Pradesh,294688,4156,3954.505898116669,1.4103051362797263,2022-07-26 04:20:58
India,Jammu and Kashmir,460558,4763,3384.8829073548177,1.0341802769683732,2022-07-26 04:20:58
India,Jharkhand,439178,5327,1137.945255043615,1.2129478252553634,2022-07-26 04:20:58
India,Karnataka,3996717,40133,5915.568543263659,1.0041491554193105,2022-07-26 04:20:58
India,Kerala,6710792,70393,18798.02998607009,1.0489521952103418,2022-07-26 04:20:58
India,Ladakh,28800,228,10499.874220256735,0.7916666666666666,2022-07-26 04:20:58
India,Lakshadweep,11412,52,17712.520759285417,0.4556607080266386,2022-07-26 04:20:58
India,Madhya Pradesh,1048522,10748,1228.367752584629,1.0250619443368856,2022-07-26 04:20:58
India,Maharashtra,8035046,148068,6524.906978380951,1.842777253546526,2022-07-26 04:20:58
